p225_022_sync|data\VCTK\test_data\p225_022.wav|data\VCTK\vctk-16k\p292\p292_025.wav
p310_101_sync|data\VCTK\test_data\p310_101.wav|data\VCTK\vctk-16k\p334\p334_129.wav
p310_168_sync|data\VCTK\test_data\p310_168.wav|data\VCTK\vctk-16k\p287\p287_127.wav
p311_026_sync|data\VCTK\test_data\p311_026.wav|data\VCTK\vctk-16k\p229\p229_366.wav
p311_151_sync|data\VCTK\test_data\p311_151.wav|data\VCTK\vctk-16k\p336\p336_350.wav
p311_187_sync|data\VCTK\test_data\p311_187.wav|data\VCTK\vctk-16k\p300\p300_328.wav
p311_195_sync|data\VCTK\test_data\p311_195.wav|data\VCTK\vctk-16k\p364\p364_123.wav
p311_254_sync|data\VCTK\test_data\p311_254.wav|data\VCTK\vctk-16k\p299\p299_366.wav
p311_264_sync|data\VCTK\test_data\p311_264.wav|data\VCTK\vctk-16k\p300\p300_229.wav
p311_382_sync|data\VCTK\test_data\p311_382.wav|data\VCTK\vctk-16k\p336\p336_356.wav
p311_389_sync|data\VCTK\test_data\p311_389.wav|data\VCTK\vctk-16k\p334\p334_099.wav
p311_394_sync|data\VCTK\test_data\p311_394.wav|data\VCTK\vctk-16k\p299\p299_253.wav
p312_249_sync|data\VCTK\test_data\p312_249.wav|data\VCTK\vctk-16k\p299\p299_271.wav
p312_324_sync|data\VCTK\test_data\p312_324.wav|data\VCTK\vctk-16k\p336\p336_397.wav
p312_332_sync|data\VCTK\test_data\p312_332.wav|data\VCTK\vctk-16k\p304\p304_147.wav
p312_410_sync|data\VCTK\test_data\p312_410.wav|data\VCTK\vctk-16k\p334\p334_227.wav
p313_005_sync|data\VCTK\test_data\p313_005.wav|data\VCTK\vctk-16k\p308\p308_077.wav
p313_079_sync|data\VCTK\test_data\p313_079.wav|data\VCTK\vctk-16k\p334\p334_184.wav
p313_156_sync|data\VCTK\test_data\p313_156.wav|data\VCTK\vctk-16k\p336\p336_394.wav
p313_292_sync|data\VCTK\test_data\p313_292.wav|data\VCTK\vctk-16k\p336\p336_063.wav
p314_118_sync|data\VCTK\test_data\p314_118.wav|data\VCTK\vctk-16k\p336\p336_405.wav
p314_172_sync|data\VCTK\test_data\p314_172.wav|data\VCTK\vctk-16k\p304\p304_294.wav
p314_203_sync|data\VCTK\test_data\p314_203.wav|data\VCTK\vctk-16k\p304\p304_163.wav
p314_222_sync|data\VCTK\test_data\p314_222.wav|data\VCTK\vctk-16k\p323\p323_338.wav
p314_223_sync|data\VCTK\test_data\p314_223.wav|data\VCTK\vctk-16k\p292\p292_269.wav
p314_353_sync|data\VCTK\test_data\p314_353.wav|data\VCTK\vctk-16k\p299\p299_134.wav
p314_412_sync|data\VCTK\test_data\p314_412.wav|data\VCTK\vctk-16k\p229\p229_153.wav
p316_009_sync|data\VCTK\test_data\p316_009.wav|data\VCTK\vctk-16k\p334\p334_046.wav
p316_242_sync|data\VCTK\test_data\p316_242.wav|data\VCTK\vctk-16k\p292\p292_133.wav
p316_317_sync|data\VCTK\test_data\p316_317.wav|data\VCTK\vctk-16k\p304\p304_271.wav
p316_351_sync|data\VCTK\test_data\p316_351.wav|data\VCTK\vctk-16k\p308\p308_259.wav
p316_380_sync|data\VCTK\test_data\p316_380.wav|data\VCTK\vctk-16k\p292\p292_298.wav
p317_127_sync|data\VCTK\test_data\p317_127.wav|data\VCTK\vctk-16k\p229\p229_040.wav
p317_233_sync|data\VCTK\test_data\p317_233.wav|data\VCTK\vctk-16k\p336\p336_077.wav
p317_274_sync|data\VCTK\test_data\p317_274.wav|data\VCTK\vctk-16k\p334\p334_367.wav
p318_423_sync|data\VCTK\test_data\p318_423.wav|data\VCTK\vctk-16k\p334\p334_169.wav
p323_118_sync|data\VCTK\test_data\p323_118.wav|data\VCTK\vctk-16k\p364\p364_088.wav
p323_159_sync|data\VCTK\test_data\p323_159.wav|data\VCTK\vctk-16k\p229\p229_155.wav
p323_173_sync|data\VCTK\test_data\p323_173.wav|data\VCTK\vctk-16k\p300\p300_133.wav
p323_249_sync|data\VCTK\test_data\p323_249.wav|data\VCTK\vctk-16k\p304\p304_377.wav
p323_318_sync|data\VCTK\test_data\p323_318.wav|data\VCTK\vctk-16k\p304\p304_218.wav
p323_392_sync|data\VCTK\test_data\p323_392.wav|data\VCTK\vctk-16k\p287\p287_271.wav
p326_093_sync|data\VCTK\test_data\p326_093.wav|data\VCTK\vctk-16k\p287\p287_323.wav
p326_196_sync|data\VCTK\test_data\p326_196.wav|data\VCTK\vctk-16k\p336\p336_132.wav
p326_219_sync|data\VCTK\test_data\p326_219.wav|data\VCTK\vctk-16k\p300\p300_071.wav
p326_253_sync|data\VCTK\test_data\p326_253.wav|data\VCTK\vctk-16k\p229\p229_171.wav
p326_259_sync|data\VCTK\test_data\p326_259.wav|data\VCTK\vctk-16k\p240\p240_010.wav
p326_260_sync|data\VCTK\test_data\p326_260.wav|data\VCTK\vctk-16k\p334\p334_188.wav
p329_123_sync|data\VCTK\test_data\p329_123.wav|data\VCTK\vctk-16k\p292\p292_122.wav
p329_173_sync|data\VCTK\test_data\p329_173.wav|data\VCTK\vctk-16k\p336\p336_234.wav
p329_316_sync|data\VCTK\test_data\p329_316.wav|data\VCTK\vctk-16k\p240\p240_220.wav
p330_018_sync|data\VCTK\test_data\p330_018.wav|data\VCTK\vctk-16k\p308\p308_359.wav
p330_101_sync|data\VCTK\test_data\p330_101.wav|data\VCTK\vctk-16k\p287\p287_224.wav
p330_138_sync|data\VCTK\test_data\p330_138.wav|data\VCTK\vctk-16k\p287\p287_315.wav
p330_340_sync|data\VCTK\test_data\p330_340.wav|data\VCTK\vctk-16k\p240\p240_263.wav
p333_030_sync|data\VCTK\test_data\p333_030.wav|data\VCTK\vctk-16k\p240\p240_362.wav
p333_375_sync|data\VCTK\test_data\p333_375.wav|data\VCTK\vctk-16k\p240\p240_372.wav
p334_040_sync|data\VCTK\test_data\p334_040.wav|data\VCTK\vctk-16k\p336\p336_032.wav
p334_136_sync|data\VCTK\test_data\p334_136.wav|data\VCTK\vctk-16k\p240\p240_153.wav
p334_206_sync|data\VCTK\test_data\p334_206.wav|data\VCTK\vctk-16k\p292\p292_183.wav
p334_280_sync|data\VCTK\test_data\p334_280.wav|data\VCTK\vctk-16k\p308\p308_178.wav
p334_316_sync|data\VCTK\test_data\p334_316.wav|data\VCTK\vctk-16k\p240\p240_148.wav
p335_040_sync|data\VCTK\test_data\p335_040.wav|data\VCTK\vctk-16k\p336\p336_309.wav
p335_081_sync|data\VCTK\test_data\p335_081.wav|data\VCTK\vctk-16k\p334\p334_104.wav
p335_109_sync|data\VCTK\test_data\p335_109.wav|data\VCTK\vctk-16k\p336\p336_339.wav
p335_146_sync|data\VCTK\test_data\p335_146.wav|data\VCTK\vctk-16k\p336\p336_222.wav
p335_279_sync|data\VCTK\test_data\p335_279.wav|data\VCTK\vctk-16k\p308\p308_315.wav
p335_291_sync|data\VCTK\test_data\p335_291.wav|data\VCTK\vctk-16k\p364\p364_154.wav
p335_312_sync|data\VCTK\test_data\p335_312.wav|data\VCTK\vctk-16k\p292\p292_115.wav
p336_152_sync|data\VCTK\test_data\p336_152.wav|data\VCTK\vctk-16k\p334\p334_006.wav
p336_288_sync|data\VCTK\test_data\p336_288.wav|data\VCTK\vctk-16k\p334\p334_008.wav
p336_300_sync|data\VCTK\test_data\p336_300.wav|data\VCTK\vctk-16k\p300\p300_190.wav
p336_410_sync|data\VCTK\test_data\p336_410.wav|data\VCTK\vctk-16k\p229\p229_151.wav
p339_046_sync|data\VCTK\test_data\p339_046.wav|data\VCTK\vctk-16k\p334\p334_298.wav
p339_081_sync|data\VCTK\test_data\p339_081.wav|data\VCTK\vctk-16k\p364\p364_185.wav
p339_204_sync|data\VCTK\test_data\p339_204.wav|data\VCTK\vctk-16k\p364\p364_065.wav
p339_220_sync|data\VCTK\test_data\p339_220.wav|data\VCTK\vctk-16k\p304\p304_261.wav
p339_304_sync|data\VCTK\test_data\p339_304.wav|data\VCTK\vctk-16k\p292\p292_066.wav
p339_331_sync|data\VCTK\test_data\p339_331.wav|data\VCTK\vctk-16k\p229\p229_133.wav
p339_419_sync|data\VCTK\test_data\p339_419.wav|data\VCTK\vctk-16k\p299\p299_344.wav
p340_017_sync|data\VCTK\test_data\p340_017.wav|data\VCTK\vctk-16k\p300\p300_223.wav
p340_030_sync|data\VCTK\test_data\p340_030.wav|data\VCTK\vctk-16k\p240\p240_366.wav
p340_079_sync|data\VCTK\test_data\p340_079.wav|data\VCTK\vctk-16k\p300\p300_248.wav
p340_143_sync|data\VCTK\test_data\p340_143.wav|data\VCTK\vctk-16k\p323\p323_080.wav
p340_189_sync|data\VCTK\test_data\p340_189.wav|data\VCTK\vctk-16k\p299\p299_169.wav
p340_234_sync|data\VCTK\test_data\p340_234.wav|data\VCTK\vctk-16k\p336\p336_014.wav
p340_253_sync|data\VCTK\test_data\p340_253.wav|data\VCTK\vctk-16k\p323\p323_322.wav
p340_265_sync|data\VCTK\test_data\p340_265.wav|data\VCTK\vctk-16k\p299\p299_225.wav
p340_349_sync|data\VCTK\test_data\p340_349.wav|data\VCTK\vctk-16k\p334\p334_209.wav
p341_008_sync|data\VCTK\test_data\p341_008.wav|data\VCTK\vctk-16k\p299\p299_120.wav
p341_065_sync|data\VCTK\test_data\p341_065.wav|data\VCTK\vctk-16k\p304\p304_180.wav
p341_335_sync|data\VCTK\test_data\p341_335.wav|data\VCTK\vctk-16k\p334\p334_383.wav
p343_012_sync|data\VCTK\test_data\p343_012.wav|data\VCTK\vctk-16k\p308\p308_327.wav
p343_189_sync|data\VCTK\test_data\p343_189.wav|data\VCTK\vctk-16k\p323\p323_094.wav
p343_390_sync|data\VCTK\test_data\p343_390.wav|data\VCTK\vctk-16k\p308\p308_398.wav
p347_002_sync|data\VCTK\test_data\p347_002.wav|data\VCTK\vctk-16k\p364\p364_253.wav
p347_008_sync|data\VCTK\test_data\p347_008.wav|data\VCTK\vctk-16k\p308\p308_043.wav
p347_129_sync|data\VCTK\test_data\p347_129.wav|data\VCTK\vctk-16k\p287\p287_030.wav
p347_282_sync|data\VCTK\test_data\p347_282.wav|data\VCTK\vctk-16k\p308\p308_060.wav
p347_296_sync|data\VCTK\test_data\p347_296.wav|data\VCTK\vctk-16k\p299\p299_077.wav
p347_355_sync|data\VCTK\test_data\p347_355.wav|data\VCTK\vctk-16k\p323\p323_281.wav
p351_346_sync|data\VCTK\test_data\p351_346.wav|data\VCTK\vctk-16k\p364\p364_050.wav
p360_041_sync|data\VCTK\test_data\p360_041.wav|data\VCTK\vctk-16k\p308\p308_147.wav
p360_135_sync|data\VCTK\test_data\p360_135.wav|data\VCTK\vctk-16k\p287\p287_311.wav
p360_163_sync|data\VCTK\test_data\p360_163.wav|data\VCTK\vctk-16k\p299\p299_352.wav
p360_179_sync|data\VCTK\test_data\p360_179.wav|data\VCTK\vctk-16k\p334\p334_251.wav
p361_011_sync|data\VCTK\test_data\p361_011.wav|data\VCTK\vctk-16k\p364\p364_109.wav
p361_198_sync|data\VCTK\test_data\p361_198.wav|data\VCTK\vctk-16k\p308\p308_033.wav
p361_281_sync|data\VCTK\test_data\p361_281.wav|data\VCTK\vctk-16k\p300\p300_076.wav
p361_340_sync|data\VCTK\test_data\p361_340.wav|data\VCTK\vctk-16k\p287\p287_132.wav
p361_348_sync|data\VCTK\test_data\p361_348.wav|data\VCTK\vctk-16k\p323\p323_288.wav
p362_338_sync|data\VCTK\test_data\p362_338.wav|data\VCTK\vctk-16k\p240\p240_095.wav
p363_036_sync|data\VCTK\test_data\p363_036.wav|data\VCTK\vctk-16k\p300\p300_114.wav
p363_100_sync|data\VCTK\test_data\p363_100.wav|data\VCTK\vctk-16k\p292\p292_030.wav
p363_139_sync|data\VCTK\test_data\p363_139.wav|data\VCTK\vctk-16k\p240\p240_202.wav
p363_218_sync|data\VCTK\test_data\p363_218.wav|data\VCTK\vctk-16k\p300\p300_218.wav
p364_151_sync|data\VCTK\test_data\p364_151.wav|data\VCTK\vctk-16k\p334\p334_307.wav
p364_294_sync|data\VCTK\test_data\p364_294.wav|data\VCTK\vctk-16k\p287\p287_001.wav
p374_096_sync|data\VCTK\test_data\p374_096.wav|data\VCTK\vctk-16k\p308\p308_084.wav
p374_190_sync|data\VCTK\test_data\p374_190.wav|data\VCTK\vctk-16k\p308\p308_008.wav
p374_202_sync|data\VCTK\test_data\p374_202.wav|data\VCTK\vctk-16k\p308\p308_177.wav
p374_293_sync|data\VCTK\test_data\p374_293.wav|data\VCTK\vctk-16k\p336\p336_357.wav
p376_061_sync|data\VCTK\test_data\p376_061.wav|data\VCTK\vctk-16k\p299\p299_350.wav
p376_130_sync|data\VCTK\test_data\p376_130.wav|data\VCTK\vctk-16k\p364\p364_272.wav
p376_148_sync|data\VCTK\test_data\p376_148.wav|data\VCTK\vctk-16k\p308\p308_397.wav
p376_153_sync|data\VCTK\test_data\p376_153.wav|data\VCTK\vctk-16k\p304\p304_265.wav
p376_167_sync|data\VCTK\test_data\p376_167.wav|data\VCTK\vctk-16k\p292\p292_181.wav
p376_169_sync|data\VCTK\test_data\p376_169.wav|data\VCTK\vctk-16k\p240\p240_254.wav
p376_182_sync|data\VCTK\test_data\p376_182.wav|data\VCTK\vctk-16k\p323\p323_137.wav
p376_192_sync|data\VCTK\test_data\p376_192.wav|data\VCTK\vctk-16k\p299\p299_144.wav
p376_233_sync|data\VCTK\test_data\p376_233.wav|data\VCTK\vctk-16k\p364\p364_065.wav
p376_374_sync|data\VCTK\test_data\p376_374.wav|data\VCTK\vctk-16k\p364\p364_013.wav
